event_id,object_class,original_track_id,last_visible_frame,first_reappeared_frame,missing_duration,new_track_id,event_type,reidentified,confidence_score,spatial_distance_norm
1,ball,2,10,38,27,2,SUCCESSFUL_REIDENTIFICATION,True,1.0,0.0
2,ball,2,50,69,18,2,SUCCESSFUL_REIDENTIFICATION,True,1.0,0.0
