frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
25,1,box,0.3873,712.55,0.21,1024.0,467.55,868.27,233.88,311.45,467.33,-1,VISIBLE,0.0,0.0
28,2,ball,0.3703,240.53,181.03,509.46,447.72,374.99,314.37,268.93,266.69,-1,VISIBLE,0.0,0.0
40,2,ball,0.3943,294.59,181.8,524.46,445.93,409.53,313.87,229.87,264.12,-1,VISIBLE,2.88,-0.04
41,3,ball,0.4872,292.18,182.16,521.48,445.61,406.83,313.88,229.31,263.45,3,VISIBLE,0.0,0.0
42,3,ball,0.4948,289.18,182.21,518.55,445.74,403.86,313.98,229.37,263.53,3,VISIBLE,-2.96,0.09
45,3,ball,0.6867,284.43,181.95,513.43,445.48,398.93,313.72,228.99,263.53,3,VISIBLE,-2.04,-0.03
46,3,ball,0.8302,288.18,182.19,515.92,445.42,402.05,313.8,227.74,263.23,3,VISIBLE,1.57,0.05
47,3,ball,0.8795,296.77,182.16,522.63,445.89,409.7,314.03,225.86,263.72,3,VISIBLE,5.83,0.17
48,3,ball,0.8924,304.6,181.85,530.42,450.05,417.51,315.95,225.82,268.2,3,VISIBLE,7.21,1.4
49,3,ball,0.8769,313.96,181.6,535.85,450.86,424.91,316.23,221.89,269.27,3,VISIBLE,7.34,0.62
50,3,ball,0.8361,323.99,181.37,540.3,450.91,432.15,316.14,216.31,269.54,3,VISIBLE,7.27,0.12
51,3,ball,0.8131,335.17,181.14,544.58,450.44,439.87,315.79,209.41,269.3,3,VISIBLE,7.59,-0.21
52,3,ball,0.8265,347.96,182.43,546.82,447.44,447.39,314.93,198.86,265.01,3,VISIBLE,7.54,-0.66
53,3,ball,0.7944,360.74,184.93,548.7,445.56,454.72,315.25,187.96,260.63,3,VISIBLE,7.39,0.02
54,3,ball,0.7194,374.94,189.0,549.02,440.94,461.98,314.97,174.08,251.94,3,VISIBLE,7.3,-0.19
55,3,ball,0.7164,390.26,194.63,547.98,433.79,469.12,314.21,157.72,239.16,3,VISIBLE,7.19,-0.59
56,3,ball,0.6363,405.04,202.2,545.59,426.18,475.31,314.19,140.55,223.99,3,VISIBLE,6.49,-0.19
57,3,ball,0.5889,418.19,208.73,543.38,419.24,480.79,313.99,125.18,210.51,3,VISIBLE,5.78,-0.2
58,3,ball,0.5622,465.5,221.56,507.15,405.61,486.33,313.59,41.65,184.05,-1,VISIBLE,0.0,0.0
