frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
1,1,ball,0.8513,0.0,203.12,50.05,307.33,25.03,255.23,50.05,104.22,1,VISIBLE,0.0,0.0
2,1,ball,0.8972,6.1,203.43,56.39,307.56,31.24,255.49,50.29,104.13,1,VISIBLE,6.22,0.27
3,1,ball,0.9056,12.45,203.54,63.4,307.34,37.92,255.44,50.95,103.8,1,VISIBLE,6.54,0.04
4,1,ball,0.8988,18.84,203.71,71.08,306.97,44.96,255.34,52.23,103.26,1,VISIBLE,6.89,-0.06
5,1,ball,0.9089,24.29,203.61,78.78,306.69,51.53,255.15,54.49,103.08,1,VISIBLE,6.67,-0.15
6,1,ball,0.9246,33.36,203.79,90.39,306.81,61.87,255.3,57.03,103.02,1,VISIBLE,9.24,0.06
7,1,ball,0.9332,43.11,203.69,103.06,307.05,73.09,255.37,59.95,103.36,1,VISIBLE,10.62,0.07
8,1,ball,0.9191,52.64,203.75,115.32,306.91,83.98,255.33,62.68,103.17,1,VISIBLE,10.81,-0.01
9,1,ball,0.9124,61.5,203.75,127.13,307.06,94.32,255.41,65.63,103.3,1,VISIBLE,10.48,0.05
10,1,ball,0.9101,70.33,203.96,138.79,307.29,104.56,255.63,68.46,103.33,1,VISIBLE,10.31,0.17
11,1,ball,0.8997,79.29,203.87,150.49,307.17,114.89,255.52,71.19,103.29,1,VISIBLE,10.33,-0.02
12,1,ball,0.8888,87.08,203.82,160.86,307.07,123.97,255.45,73.79,103.25,1,VISIBLE,9.45,-0.06
13,1,ball,0.8879,93.79,203.73,169.92,306.85,131.86,255.29,76.13,103.12,1,VISIBLE,8.36,-0.13
14,1,ball,0.8912,101.15,203.71,179.72,307.03,140.43,255.37,78.57,103.32,1,VISIBLE,8.51,0.02
15,1,ball,0.8797,108.62,203.67,189.48,307.13,149.05,255.4,80.86,103.46,1,VISIBLE,8.58,0.03
16,1,ball,0.8546,115.37,203.24,198.65,307.28,157.01,255.26,83.28,104.03,1,VISIBLE,8.15,-0.09
17,1,ball,0.8517,121.7,203.28,206.81,307.18,164.25,255.23,85.11,103.9,1,VISIBLE,7.52,-0.05
18,1,ball,0.8171,128.23,203.88,214.57,307.08,171.4,255.48,86.34,103.19,1,VISIBLE,7.26,0.16
19,1,ball,0.8271,132.37,204.23,219.38,307.2,175.88,255.71,87.0,102.98,1,VISIBLE,5.31,0.21
20,1,ball,0.6966,133.65,203.74,220.07,307.21,176.86,255.48,86.41,103.47,1,VISIBLE,2.28,-0.1
21,1,ball,0.4477,132.79,203.23,217.44,307.45,175.12,255.34,84.65,104.22,1,VISIBLE,-0.54,-0.13
22,1,ball,0.59,126.58,203.66,208.31,307.1,167.44,255.38,81.72,103.45,1,VISIBLE,-5.53,-0.01
23,1,ball,0.6047,113.24,203.71,193.53,306.95,153.39,255.33,80.3,103.24,1,VISIBLE,-11.5,-0.04
24,1,ball,0.7531,100.71,203.57,179.8,306.9,140.25,255.23,79.09,103.33,1,VISIBLE,-12.64,-0.08
25,1,ball,0.7081,90.73,203.49,168.08,306.82,129.41,255.15,77.34,103.33,1,VISIBLE,-11.39,-0.08
26,1,ball,0.6949,85.46,204.44,158.41,305.16,121.94,254.8,72.95,100.73,1,VISIBLE,-8.65,-0.27
99,1,ball,0.6051,494.62,206.92,530.43,301.46,512.52,254.19,35.81,94.54,-1,VISIBLE,0.0,0.0
100,2,ball,0.72,497.2,204.36,535.41,304.98,516.31,254.67,38.21,100.62,2,VISIBLE,0.0,0.0
101,2,ball,0.733,500.58,203.25,540.11,306.39,520.34,254.82,39.53,103.14,2,VISIBLE,4.04,0.15
102,2,ball,0.8422,505.25,202.81,546.07,307.05,525.66,254.93,40.83,104.24,2,VISIBLE,4.93,0.12
103,2,ball,0.8691,509.83,202.7,552.36,307.28,531.09,254.99,42.53,104.58,2,VISIBLE,5.28,0.08
104,2,ball,0.9018,519.36,202.8,564.43,306.76,541.89,254.78,45.07,103.96,2,VISIBLE,9.15,-0.12
105,2,ball,0.9336,528.41,202.75,576.6,306.55,552.51,254.65,48.2,103.8,2,VISIBLE,10.17,-0.13
106,2,ball,0.9196,539.49,203.11,590.87,306.68,565.18,254.9,51.38,103.57,2,VISIBLE,11.92,0.13
107,2,ball,0.9358,552.05,203.03,606.78,306.44,579.42,254.73,54.74,103.41,2,VISIBLE,13.54,-0.07
108,2,ball,0.9281,561.82,202.94,619.37,306.22,590.59,254.58,57.55,103.27,2,VISIBLE,11.89,-0.13
109,2,ball,0.9141,569.21,202.92,628.7,306.38,598.95,254.65,59.49,103.46,2,VISIBLE,9.42,0.01
110,2,ball,0.9016,576.65,203.24,636.95,307.09,606.8,255.16,60.3,103.85,2,VISIBLE,8.32,0.36
111,2,ball,0.922,584.39,203.38,640.0,307.28,612.2,255.33,55.61,103.9,2,VISIBLE,6.27,0.22
112,2,ball,0.8246,595.08,204.79,640.0,305.34,617.54,255.07,44.92,100.55,2,VISIBLE,5.62,-0.12
