frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
40,2,ball,VISIBLE,13,0,0.5795,391.21,368.5,2.84,-1.26
41,1,box,VISIBLE,41,0,0.7712,655.4,342.87,-2.92,0.07
41,2,ball,VISIBLE,14,0,0.585,391.86,366.84,1.31,-1.54
42,1,box,VISIBLE,42,0,0.7349,651.91,342.88,-3.32,0.03
42,2,ball,VISIBLE,15,0,0.6142,392.77,364.16,1.04,-2.34
43,1,box,VISIBLE,43,0,0.744,649.07,342.98,-2.98,0.07
43,2,ball,VISIBLE,16,0,0.6402,394.32,359.45,1.39,-4.0
44,1,box,VISIBLE,44,0,0.7736,646.34,343.02,-2.81,0.05
44,2,ball,VISIBLE,17,0,0.6472,396.46,355.68,1.92,-3.84
45,1,box,VISIBLE,45,0,0.8272,643.32,343.16,-2.95,0.11
45,2,ball,VISIBLE,18,0,0.6491,398.5,352.49,2.0,-3.38
46,1,box,VISIBLE,46,0,0.759,640.23,343.22,-3.05,0.08
46,2,ball,VISIBLE,19,0,0.6117,400.99,350.79,2.35,-2.2
47,1,box,VISIBLE,47,0,0.754,636.65,343.6,-3.42,0.29
47,2,ball,OCCLUDED,19,1,0.989,403.34,348.59,2.35,-2.2
48,1,box,VISIBLE,48,0,0.7923,632.64,343.51,-3.83,0.03
48,2,ball,OCCLUDED,19,2,0.978,405.68,346.39,2.35,-2.2
49,1,box,VISIBLE,49,0,0.83,628.85,343.5,-3.81,-0.01
49,2,ball,VISIBLE,20,0,0.451,410.45,350.07,2.91,-0.83
50,1,box,VISIBLE,50,0,0.8641,624.13,343.49,-4.44,-0.01
50,2,ball,VISIBLE,21,0,0.4967,413.76,351.54,3.19,0.78
51,1,box,VISIBLE,51,0,0.842,620.12,343.44,-4.14,-0.03
51,2,ball,OCCLUDED,21,1,0.989,416.96,352.32,3.19,0.78
52,1,box,VISIBLE,52,0,0.7518,617.55,343.44,-3.05,-0.01
52,2,ball,OCCLUDED,21,2,0.978,420.15,353.1,3.19,0.78
53,1,box,VISIBLE,53,0,0.8344,614.89,343.49,-2.77,0.03
53,2,ball,OCCLUDED,21,3,0.967,423.35,353.88,3.19,0.78
54,1,box,VISIBLE,54,0,0.8504,611.71,343.48,-3.05,0.0
54,2,ball,OCCLUDED,21,4,0.956,426.54,354.66,3.19,0.78
55,1,box,VISIBLE,55,0,0.8162,608.79,343.53,-2.97,0.04
55,2,ball,OCCLUDED,21,5,0.944,429.73,355.44,3.19,0.78
56,1,box,VISIBLE,56,0,0.7892,605.84,343.6,-2.96,0.06
56,2,ball,OCCLUDED,21,6,0.933,432.93,356.22,3.19,0.78
57,1,box,VISIBLE,57,0,0.8239,602.26,343.57,-3.39,-0.0
57,2,ball,OCCLUDED,21,7,0.922,436.12,357.0,3.19,0.78
58,1,box,VISIBLE,58,0,0.845,598.8,343.55,-3.44,-0.01
58,2,ball,OCCLUDED,21,8,0.911,439.32,357.78,3.19,0.78
59,1,box,VISIBLE,59,0,0.838,595.83,343.43,-3.11,-0.09
59,2,ball,OCCLUDED,21,9,0.9,442.51,358.56,3.19,0.78
60,1,box,VISIBLE,60,0,0.814,592.42,343.37,-3.32,-0.07
60,2,ball,OCCLUDED,21,10,0.889,445.7,359.34,3.19,0.78
61,1,box,VISIBLE,61,0,0.8031,588.83,343.71,-3.51,0.22
61,2,ball,OCCLUDED,21,11,0.878,448.9,360.12,3.19,0.78
62,1,box,VISIBLE,62,0,0.7693,585.28,343.61,-3.53,-0.01
62,2,ball,OCCLUDED,21,12,0.867,452.09,360.9,3.19,0.78
63,1,box,VISIBLE,63,0,0.5122,580.73,343.54,-4.25,-0.04
63,2,ball,OCCLUDED,21,13,0.856,455.29,361.68,3.19,0.78
64,1,box,VISIBLE,64,0,0.5373,571.74,343.75,-7.57,0.13
64,2,ball,OCCLUDED,21,14,0.844,458.48,362.46,3.19,0.78
65,1,box,VISIBLE,65,0,0.4998,563.05,343.5,-8.35,-0.13
65,2,ball,OCCLUDED,21,15,0.833,461.67,363.24,3.19,0.78
66,1,box,VISIBLE,66,0,0.4561,549.37,343.24,-12.09,-0.22
66,2,ball,OCCLUDED,21,16,0.822,464.87,364.02,3.19,0.78
67,1,box,VISIBLE,67,0,0.4701,534.79,343.0,-13.83,-0.23
67,2,ball,OCCLUDED,21,17,0.811,468.06,364.8,3.19,0.78
68,1,box,VISIBLE,68,0,0.3731,521.32,342.67,-13.58,-0.31
68,2,ball,OCCLUDED,21,18,0.8,471.25,365.58,3.19,0.78
69,1,box,VISIBLE,69,0,0.55,509.71,342.81,-12.2,0.01
69,2,ball,VISIBLE,22,0,0.6577,771.25,352.64,14.13,0.27
70,1,box,VISIBLE,70,0,0.6594,501.17,343.0,-9.64,0.14
70,2,ball,VISIBLE,23,0,0.6359,769.64,352.75,3.12,0.16
71,1,box,VISIBLE,71,0,0.4629,495.52,343.43,-6.85,0.34
71,2,ball,VISIBLE,24,0,0.644,767.01,350.42,-0.91,-1.59
72,1,box,VISIBLE,72,0,0.4515,491.91,343.52,-4.58,0.17
72,2,ball,VISIBLE,25,0,0.5504,764.32,352.2,-2.16,0.77
73,1,box,VISIBLE,73,0,0.6049,486.88,343.35,-4.9,-0.07
73,2,ball,VISIBLE,26,0,0.7217,762.0,352.7,-2.27,0.58
74,1,box,VISIBLE,74,0,0.5609,481.72,344.01,-5.08,0.44
74,2,ball,VISIBLE,27,0,0.7302,759.19,353.22,-2.64,0.53
75,1,box,VISIBLE,75,0,0.6917,477.29,343.6,-4.62,-0.15
75,2,ball,VISIBLE,28,0,0.7496,756.74,354.01,-2.52,0.72
76,1,box,VISIBLE,76,0,0.7,472.76,343.35,-4.56,-0.22
76,2,ball,VISIBLE,29,0,0.7483,753.78,355.01,-2.82,0.92
77,1,box,VISIBLE,77,0,0.7337,466.75,343.95,-5.57,0.36
77,2,ball,VISIBLE,30,0,0.7421,751.09,355.81,-2.73,0.84
78,1,box,VISIBLE,78,0,0.7995,461.52,343.94,-5.33,0.1
78,2,ball,VISIBLE,31,0,0.7919,748.44,356.94,-2.67,1.04
79,1,box,VISIBLE,79,0,0.8421,456.04,344.12,-5.44,0.16
79,2,ball,VISIBLE,32,0,0.4322,745.32,358.56,-2.99,1.44
80,1,box,VISIBLE,80,0,0.8237,450.07,343.99,-5.81,-0.05
80,2,ball,OCCLUDED,32,1,0.989,742.33,360.0,-2.99,1.44
81,1,box,VISIBLE,81,0,0.8385,444.75,343.87,-5.47,-0.1
81,2,ball,OCCLUDED,32,2,0.978,739.34,361.45,-2.99,1.44
82,1,box,VISIBLE,82,0,0.8532,440.3,343.77,-4.76,-0.09
82,2,ball,OCCLUDED,32,3,0.967,736.36,362.89,-2.99,1.44
83,1,box,VISIBLE,83,0,0.8212,435.84,343.67,-4.55,-0.1
83,2,ball,OCCLUDED,32,4,0.956,733.37,364.33,-2.99,1.44
84,1,box,VISIBLE,84,0,0.8136,430.67,343.75,-4.98,0.02
84,2,ball,OCCLUDED,32,5,0.944,730.38,365.78,-2.99,1.44
85,1,box,VISIBLE,85,0,0.8179,425.18,343.74,-5.33,0.0
85,2,ball,OCCLUDED,32,6,0.933,727.39,367.22,-2.99,1.44
86,1,box,VISIBLE,86,0,0.8125,420.08,343.63,-5.17,-0.07
86,2,ball,OCCLUDED,32,7,0.922,724.4,368.66,-2.99,1.44
87,1,box,VISIBLE,87,0,0.8558,414.83,343.72,-5.23,0.04
87,2,ball,OCCLUDED,32,8,0.911,721.42,370.11,-2.99,1.44
88,1,box,VISIBLE,88,0,0.8706,409.61,343.75,-5.22,0.03
88,2,ball,OCCLUDED,32,9,0.9,718.43,371.55,-2.99,1.44
89,1,box,VISIBLE,89,0,0.8303,404.5,343.71,-5.15,-0.02
89,2,ball,OCCLUDED,32,10,0.889,715.44,372.99,-2.99,1.44
90,1,box,VISIBLE,90,0,0.7983,398.94,343.61,-5.43,-0.08
90,2,ball,OCCLUDED,32,11,0.878,712.45,374.44,-2.99,1.44
91,1,box,VISIBLE,91,0,0.7612,393.4,343.6,-5.51,-0.03
91,2,ball,OCCLUDED,32,12,0.867,709.47,375.88,-2.99,1.44
92,1,box,VISIBLE,92,0,0.722,388.68,343.71,-4.96,0.07
92,2,ball,OCCLUDED,32,13,0.856,706.48,377.32,-2.99,1.44
93,1,box,VISIBLE,93,0,0.7699,383.86,343.82,-4.86,0.1
93,2,ball,OCCLUDED,32,14,0.844,703.49,378.77,-2.99,1.44
94,1,box,VISIBLE,94,0,0.7527,379.04,343.86,-4.84,0.05
94,2,ball,OCCLUDED,32,15,0.833,700.5,380.21,-2.99,1.44
95,1,box,VISIBLE,95,0,0.7336,373.55,343.78,-5.3,-0.03
95,2,ball,OCCLUDED,32,16,0.822,697.51,381.65,-2.99,1.44
96,1,box,VISIBLE,96,0,0.7484,367.28,343.73,-5.98,-0.05
96,2,ball,OCCLUDED,32,17,0.811,694.53,383.09,-2.99,1.44
97,1,box,VISIBLE,97,0,0.7305,361.26,343.62,-6.0,-0.09
97,2,ball,OCCLUDED,32,18,0.8,691.54,384.54,-2.99,1.44
98,1,box,VISIBLE,98,0,0.7088,356.59,343.71,-5.07,0.04
98,2,ball,OCCLUDED,32,19,0.789,688.55,385.98,-2.99,1.44
99,1,box,VISIBLE,99,0,0.6968,351.59,343.71,-5.02,0.01
99,2,ball,OCCLUDED,32,20,0.778,685.56,387.42,-2.99,1.44
100,1,box,VISIBLE,100,0,0.7509,346.43,343.55,-5.12,-0.11
100,2,ball,OCCLUDED,32,21,0.767,682.57,388.87,-2.99,1.44
101,1,box,VISIBLE,101,0,0.6943,340.04,343.57,-6.01,-0.02
101,2,ball,OCCLUDED,32,22,0.756,679.59,390.31,-2.99,1.44
102,1,box,VISIBLE,102,0,0.6271,335.14,343.57,-5.24,-0.01
102,2,ball,OCCLUDED,32,23,0.744,676.6,391.75,-2.99,1.44
103,1,box,VISIBLE,103,0,0.6606,330.07,343.49,-5.11,-0.06
103,2,ball,OCCLUDED,32,24,0.733,673.61,393.2,-2.99,1.44
104,1,box,VISIBLE,104,0,0.7219,325.09,343.44,-5.03,-0.05
104,2,ball,OCCLUDED,32,25,0.722,670.62,394.64,-2.99,1.44
105,1,box,VISIBLE,105,0,0.7159,320.32,343.39,-4.84,-0.05
105,2,ball,OCCLUDED,32,26,0.711,667.63,396.08,-2.99,1.44
106,1,box,VISIBLE,106,0,0.6843,315.07,343.39,-5.13,-0.01
106,2,ball,OCCLUDED,32,27,0.7,664.65,397.53,-2.99,1.44
107,1,box,VISIBLE,107,0,0.6603,309.34,343.39,-5.55,-0.0
107,2,ball,OCCLUDED,32,28,0.689,661.66,398.97,-2.99,1.44
108,1,box,VISIBLE,108,0,0.6399,304.2,343.32,-5.27,-0.05
108,2,ball,OCCLUDED,32,29,0.678,658.67,400.41,-2.99,1.44
109,1,box,VISIBLE,109,0,0.577,297.32,343.26,-6.4,-0.06
109,2,ball,OCCLUDED,32,30,0.667,655.68,401.86,-2.99,1.44
110,1,box,VISIBLE,110,0,0.5466,291.92,343.33,-5.7,0.03
110,2,ball,OCCLUDED,32,31,0.656,652.69,403.3,-2.99,1.44
111,1,box,VISIBLE,111,0,0.5456,288.47,343.42,-4.13,0.07
111,2,ball,OCCLUDED,32,32,0.644,649.71,404.74,-2.99,1.44
112,1,box,VISIBLE,112,0,0.4504,286.69,343.21,-2.48,-0.13
112,2,ball,OCCLUDED,32,33,0.633,646.72,406.19,-2.99,1.44
113,1,box,VISIBLE,113,0,0.3868,285.22,343.16,-1.77,-0.07
113,2,ball,OCCLUDED,32,34,0.622,643.73,407.63,-2.99,1.44
114,1,box,VISIBLE,114,0,0.4512,283.8,343.17,-1.53,-0.02
114,2,ball,OCCLUDED,32,35,0.611,640.74,409.07,-2.99,1.44
115,1,box,OCCLUDED,114,1,0.989,282.27,343.15,-1.53,-0.02
115,2,ball,OCCLUDED,32,36,0.6,637.76,410.52,-2.99,1.44
116,1,box,OCCLUDED,114,2,0.978,280.74,343.13,-1.53,-0.02
116,2,ball,OCCLUDED,32,37,0.589,634.77,411.96,-2.99,1.44
117,1,box,VISIBLE,115,0,0.3527,279.92,343.33,-1.36,0.03
117,2,ball,OCCLUDED,32,38,0.578,631.78,413.4,-2.99,1.44
118,1,box,VISIBLE,116,0,0.4889,277.89,343.17,-1.83,-0.1
118,2,ball,OCCLUDED,32,39,0.567,628.79,414.85,-2.99,1.44
119,1,box,VISIBLE,117,0,0.4611,275.81,343.16,-2.0,-0.04
119,2,ball,OCCLUDED,32,40,0.556,625.8,416.29,-2.99,1.44
120,1,box,VISIBLE,118,0,0.3815,273.65,343.39,-2.11,0.15
120,2,ball,OCCLUDED,32,41,0.544,622.82,417.73,-2.99,1.44
121,1,box,VISIBLE,119,0,0.4359,271.52,343.19,-2.12,-0.09
121,2,ball,OCCLUDED,32,42,0.533,619.83,419.18,-2.99,1.44
122,1,box,VISIBLE,120,0,0.4478,269.28,343.1,-2.21,-0.09
122,2,ball,OCCLUDED,32,43,0.522,616.84,420.62,-2.99,1.44
123,1,box,VISIBLE,121,0,0.4756,267.12,343.13,-2.17,-0.01
123,2,ball,OCCLUDED,32,44,0.511,613.85,422.06,-2.99,1.44
124,1,box,VISIBLE,122,0,0.5278,264.71,343.01,-2.34,-0.08
124,2,ball,OCCLUDED,32,45,0.5,610.86,423.5,-2.99,1.44
125,1,box,VISIBLE,123,0,0.4868,262.39,342.28,-2.33,-0.54
125,2,ball,OCCLUDED,32,46,0.489,607.88,424.95,-2.99,1.44
126,1,box,VISIBLE,124,0,0.4566,260.02,342.04,-2.35,-0.33
126,2,ball,OCCLUDED,32,47,0.478,604.89,426.39,-2.99,1.44
127,1,box,VISIBLE,125,0,0.4594,257.69,341.79,-2.34,-0.27
127,2,ball,OCCLUDED,32,48,0.467,601.9,427.83,-2.99,1.44
128,1,box,VISIBLE,126,0,0.4552,255.54,342.2,-2.21,0.21
128,2,ball,OCCLUDED,32,49,0.456,598.91,429.28,-2.99,1.44
129,1,box,VISIBLE,127,0,0.4196,253.25,342.4,-2.27,0.2
129,2,ball,OCCLUDED,32,50,0.444,595.92,430.72,-2.99,1.44
130,1,box,VISIBLE,128,0,0.418,250.91,343.07,-2.32,0.53
130,2,ball,OCCLUDED,32,51,0.433,592.94,432.16,-2.99,1.44
131,1,box,VISIBLE,129,0,0.4704,248.58,343.24,-2.32,0.27
131,2,ball,OCCLUDED,32,52,0.422,589.95,433.61,-2.99,1.44
132,1,box,VISIBLE,130,0,0.4355,246.02,342.71,-2.49,-0.29
132,2,ball,OCCLUDED,32,53,0.411,586.96,435.05,-2.99,1.44
133,1,box,VISIBLE,131,0,0.4003,243.69,342.94,-2.37,0.08
133,2,ball,OCCLUDED,32,54,0.4,583.97,436.49,-2.99,1.44
134,1,box,VISIBLE,132,0,0.4249,241.37,343.03,-2.34,0.08
134,2,ball,OCCLUDED,32,55,0.389,580.99,437.94,-2.99,1.44
135,1,box,VISIBLE,133,0,0.438,238.93,342.69,-2.41,-0.22
135,2,ball,OCCLUDED,32,56,0.378,578.0,439.38,-2.99,1.44
136,1,box,VISIBLE,134,0,0.525,236.31,343.0,-2.56,0.16
136,2,ball,OCCLUDED,32,57,0.367,575.01,440.82,-2.99,1.44
137,1,box,VISIBLE,135,0,0.5825,233.84,342.75,-2.49,-0.13
137,2,ball,OCCLUDED,32,58,0.356,572.02,442.27,-2.99,1.44
138,1,box,VISIBLE,136,0,0.4997,231.32,342.75,-2.51,-0.04
138,2,ball,OCCLUDED,32,59,0.344,569.03,443.71,-2.99,1.44
139,1,box,VISIBLE,137,0,0.4203,228.65,342.67,-2.62,-0.07
139,2,ball,OCCLUDED,32,60,0.333,566.05,445.15,-2.99,1.44
140,1,box,VISIBLE,138,0,0.5408,226.3,342.62,-2.43,-0.05
140,2,ball,OCCLUDED,32,61,0.322,563.06,446.6,-2.99,1.44
141,1,box,VISIBLE,139,0,0.5277,223.84,342.62,-2.45,-0.02
141,2,ball,OCCLUDED,32,62,0.311,560.07,448.04,-2.99,1.44
