frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
25,1,box,VISIBLE,1,0,0.3873,868.27,233.88,0.0,0.0
26,1,box,OCCLUDED,1,1,0.989,868.27,233.88,0.0,0.0
27,1,box,OCCLUDED,1,2,0.978,868.27,233.88,0.0,0.0
28,1,box,OCCLUDED,1,3,0.967,868.27,233.88,0.0,0.0
28,2,ball,VISIBLE,1,0,0.3703,375.0,314.38,0.0,0.0
29,1,box,OCCLUDED,1,4,0.956,868.27,233.88,0.0,0.0
29,2,ball,OCCLUDED,1,1,0.989,375.0,314.38,0.0,0.0
30,1,box,OCCLUDED,1,5,0.944,868.27,233.88,0.0,0.0
30,2,ball,OCCLUDED,1,2,0.978,375.0,314.38,0.0,0.0
31,1,box,OCCLUDED,1,6,0.933,868.27,233.88,0.0,0.0
31,2,ball,OCCLUDED,1,3,0.967,375.0,314.38,0.0,0.0
32,1,box,OCCLUDED,1,7,0.922,868.27,233.88,0.0,0.0
32,2,ball,OCCLUDED,1,4,0.956,375.0,314.38,0.0,0.0
33,1,box,OCCLUDED,1,8,0.911,868.27,233.88,0.0,0.0
33,2,ball,OCCLUDED,1,5,0.944,375.0,314.38,0.0,0.0
34,1,box,OCCLUDED,1,9,0.9,868.27,233.88,0.0,0.0
34,2,ball,OCCLUDED,1,6,0.933,375.0,314.38,0.0,0.0
35,1,box,OCCLUDED,1,10,0.889,868.27,233.88,0.0,0.0
35,2,ball,OCCLUDED,1,7,0.922,375.0,314.38,0.0,0.0
36,1,box,OCCLUDED,1,11,0.878,868.27,233.88,0.0,0.0
36,2,ball,OCCLUDED,1,8,0.911,375.0,314.38,0.0,0.0
37,1,box,OCCLUDED,1,12,0.867,868.27,233.88,0.0,0.0
37,2,ball,OCCLUDED,1,9,0.9,375.0,314.38,0.0,0.0
38,1,box,OCCLUDED,1,13,0.856,868.27,233.88,0.0,0.0
38,2,ball,OCCLUDED,1,10,0.889,375.0,314.38,0.0,0.0
