frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
1,1,ball,VISIBLE,1,0,0.8513,25.02,255.22,0.0,0.0
2,1,ball,VISIBLE,2,0,0.8972,31.24,255.5,6.22,0.27
3,1,ball,VISIBLE,3,0,0.9056,37.92,255.44,6.54,0.04
4,1,ball,VISIBLE,4,0,0.8988,44.96,255.34,6.89,-0.06
5,1,ball,VISIBLE,5,0,0.9089,51.53,255.15,6.67,-0.15
6,1,ball,VISIBLE,6,0,0.9246,61.88,255.3,9.24,0.06
7,1,ball,VISIBLE,7,0,0.9332,73.09,255.37,10.62,0.07
8,1,ball,VISIBLE,8,0,0.9191,83.98,255.33,10.81,-0.01
9,1,ball,VISIBLE,9,0,0.9124,94.31,255.41,10.48,0.05
10,1,ball,VISIBLE,10,0,0.9101,104.56,255.62,10.31,0.17
11,1,ball,VISIBLE,11,0,0.8997,114.89,255.52,10.33,-0.02
12,1,ball,VISIBLE,12,0,0.8888,123.97,255.44,9.45,-0.06
13,1,ball,VISIBLE,13,0,0.8879,131.85,255.29,8.36,-0.13
14,1,ball,VISIBLE,14,0,0.8912,140.44,255.37,8.51,0.02
15,1,ball,VISIBLE,15,0,0.8797,149.05,255.4,8.58,0.03
16,1,ball,VISIBLE,16,0,0.8546,157.01,255.26,8.15,-0.09
17,1,ball,VISIBLE,17,0,0.8517,164.25,255.23,7.52,-0.05
18,1,ball,VISIBLE,18,0,0.8171,171.4,255.48,7.26,0.16
19,1,ball,VISIBLE,19,0,0.8271,175.88,255.71,5.31,0.21
20,1,ball,VISIBLE,20,0,0.6966,176.86,255.47,2.28,-0.1
21,1,ball,VISIBLE,21,0,0.4477,175.12,255.34,-0.54,-0.13
22,1,ball,VISIBLE,22,0,0.59,167.44,255.38,-5.53,-0.01
23,1,ball,VISIBLE,23,0,0.6047,153.38,255.33,-11.5,-0.04
24,1,ball,VISIBLE,24,0,0.7531,140.25,255.23,-12.64,-0.08
25,1,ball,VISIBLE,25,0,0.7081,129.41,255.16,-11.39,-0.08
26,1,ball,VISIBLE,26,0,0.6949,121.94,254.8,-8.65,-0.27
27,1,ball,OCCLUDED,26,1,0.989,113.29,254.53,-8.65,-0.27
28,1,ball,OCCLUDED,26,2,0.978,104.64,254.26,-8.65,-0.27
29,1,ball,OCCLUDED,26,3,0.967,96.0,253.98,-8.65,-0.27
30,1,ball,OCCLUDED,26,4,0.956,87.35,253.71,-8.65,-0.27
31,1,ball,OCCLUDED,26,5,0.944,78.71,253.44,-8.65,-0.27
32,1,ball,OCCLUDED,26,6,0.933,70.06,253.17,-8.65,-0.27
33,1,ball,OCCLUDED,26,7,0.922,61.42,252.89,-8.65,-0.27
34,1,ball,OCCLUDED,26,8,0.911,52.77,252.62,-8.65,-0.27
35,1,ball,OCCLUDED,26,9,0.9,44.13,252.35,-8.65,-0.27
36,1,ball,OCCLUDED,26,10,0.889,35.48,252.08,-8.65,-0.27
37,1,ball,OCCLUDED,26,11,0.878,26.84,251.8,-8.65,-0.27
38,1,ball,OCCLUDED,26,12,0.867,18.19,251.53,-8.65,-0.27
39,1,ball,OCCLUDED,26,13,0.856,9.55,251.26,-8.65,-0.27
40,1,ball,OCCLUDED,26,14,0.844,0.9,250.99,-8.65,-0.27
41,1,ball,OCCLUDED,26,15,0.833,-7.74,250.72,-8.65,-0.27
42,1,ball,OCCLUDED,26,16,0.822,-16.39,250.44,-8.65,-0.27
43,1,ball,OUT_OF_BOUNDS,26,17,0.811,-25.03,250.17,-8.65,-0.27
44,1,ball,OUT_OF_BOUNDS,26,18,0.8,-33.68,249.9,-8.65,-0.27
45,1,ball,OUT_OF_BOUNDS,26,19,0.789,-42.32,249.63,-8.65,-0.27
46,1,ball,OUT_OF_BOUNDS,26,20,0.778,-50.97,249.35,-8.65,-0.27
47,1,ball,OUT_OF_BOUNDS,26,21,0.767,-59.61,249.08,-8.65,-0.27
48,1,ball,OUT_OF_BOUNDS,26,22,0.756,-68.26,248.81,-8.65,-0.27
49,1,ball,OUT_OF_BOUNDS,26,23,0.744,-76.91,248.54,-8.65,-0.27
50,1,ball,OUT_OF_BOUNDS,26,24,0.733,-85.55,248.26,-8.65,-0.27
51,1,ball,OUT_OF_BOUNDS,26,25,0.722,-94.2,247.99,-8.65,-0.27
52,1,ball,OUT_OF_BOUNDS,26,26,0.711,-102.84,247.72,-8.65,-0.27
53,1,ball,OUT_OF_BOUNDS,26,27,0.7,-111.49,247.45,-8.65,-0.27
54,1,ball,OUT_OF_BOUNDS,26,28,0.689,-120.13,247.18,-8.65,-0.27
55,1,ball,OUT_OF_BOUNDS,26,29,0.678,-128.78,246.9,-8.65,-0.27
56,1,ball,OUT_OF_BOUNDS,26,30,0.667,-137.42,246.63,-8.65,-0.27
57,1,ball,OUT_OF_BOUNDS,26,31,0.656,-146.07,246.36,-8.65,-0.27
58,1,ball,OUT_OF_BOUNDS,26,32,0.644,-154.71,246.09,-8.65,-0.27
59,1,ball,OUT_OF_BOUNDS,26,33,0.633,-163.36,245.81,-8.65,-0.27
60,1,ball,OUT_OF_BOUNDS,26,34,0.622,-172.0,245.54,-8.65,-0.27
61,1,ball,OUT_OF_BOUNDS,26,35,0.611,-180.65,245.27,-8.65,-0.27
62,1,ball,OUT_OF_BOUNDS,26,36,0.6,-189.29,245.0,-8.65,-0.27
63,1,ball,OUT_OF_BOUNDS,26,37,0.589,-197.94,244.72,-8.65,-0.27
64,1,ball,OUT_OF_BOUNDS,26,38,0.578,-206.58,244.45,-8.65,-0.27
65,1,ball,OUT_OF_BOUNDS,26,39,0.567,-215.23,244.18,-8.65,-0.27
66,1,ball,OUT_OF_BOUNDS,26,40,0.556,-223.87,243.91,-8.65,-0.27
67,1,ball,OUT_OF_BOUNDS,26,41,0.544,-232.52,243.64,-8.65,-0.27
68,1,ball,OUT_OF_BOUNDS,26,42,0.533,-241.16,243.36,-8.65,-0.27
