frame,master_track_id,raw_tracker_id,class_name,occlusion_gap_frames,prediction_error_px,matching_cost,event
40,2,-1,ball,11,34.54,0.0666,MEMORY_RECOVERY_SUCCESS
45,3,3,ball,2,1.09,0.0011,MEMORY_RECOVERY_SUCCESS
