frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
1,1,box,VISIBLE,1,0,0.8562,660.44,351.95,0.0,0.0
1,2,ball,VISIBLE,1,0,0.7564,120.54,438.92,0.0,0.0
2,1,box,VISIBLE,2,0,0.857,660.43,351.95,-0.01,0.0
2,2,ball,VISIBLE,2,0,0.7767,128.03,439.06,7.49,0.14
3,1,box,VISIBLE,3,0,0.8595,660.44,351.95,0.0,-0.0
3,2,ball,VISIBLE,3,0,0.7685,136.36,439.06,8.08,0.04
4,1,box,VISIBLE,4,0,0.8562,660.44,351.95,0.0,0.0
4,2,ball,VISIBLE,4,0,0.8094,145.56,439.2,8.86,0.11
5,1,box,VISIBLE,5,0,0.8542,660.43,351.92,-0.01,-0.02
5,2,ball,VISIBLE,5,0,0.8325,155.12,439.26,9.35,0.08
6,1,box,VISIBLE,6,0,0.8584,660.41,351.95,-0.01,0.01
6,2,ball,VISIBLE,6,0,0.7964,164.34,439.25,9.26,0.01
7,1,box,VISIBLE,7,0,0.8574,660.44,351.97,0.01,0.02
7,2,ball,VISIBLE,7,0,0.7415,173.68,439.31,9.32,0.05
8,1,box,VISIBLE,8,0,0.8587,660.47,351.95,0.03,-0.01
8,2,ball,VISIBLE,8,0,0.81,183.32,439.58,9.55,0.2
9,1,box,VISIBLE,9,0,0.8532,660.47,352.0,0.01,0.04
9,2,ball,VISIBLE,9,0,0.8092,193.06,439.65,9.68,0.11
10,1,box,VISIBLE,10,0,0.8607,660.49,351.99,0.01,-0.0
10,2,ball,VISIBLE,10,0,0.8227,202.82,439.64,9.74,0.03
11,1,box,VISIBLE,11,0,0.8607,660.44,351.98,-0.02,-0.01
11,2,ball,VISIBLE,11,0,0.8562,212.45,439.9,9.66,0.19
12,1,box,VISIBLE,12,0,0.8591,660.44,351.99,-0.01,0.0
12,2,ball,VISIBLE,12,0,0.8402,222.27,440.27,9.77,0.32
13,1,box,VISIBLE,13,0,0.8568,660.46,352.0,0.01,0.01
13,2,ball,VISIBLE,13,0,0.8714,232.3,440.22,9.95,0.05
14,1,box,VISIBLE,14,0,0.8621,660.5,352.01,0.02,0.02
14,2,ball,VISIBLE,14,0,0.8519,242.36,440.27,10.03,0.05
15,1,box,VISIBLE,15,0,0.8635,660.53,351.97,0.03,-0.03
15,2,ball,VISIBLE,15,0,0.8034,252.31,440.38,9.97,0.1
16,1,box,VISIBLE,16,0,0.8682,660.55,351.97,0.03,-0.01
16,2,ball,VISIBLE,16,0,0.7908,262.36,440.51,10.02,0.12
17,1,box,VISIBLE,17,0,0.8599,660.56,351.97,0.01,0.0
17,2,ball,VISIBLE,17,0,0.8151,272.69,440.77,10.24,0.22
18,1,box,VISIBLE,18,0,0.8584,660.6,351.94,0.03,-0.02
18,2,ball,VISIBLE,18,0,0.7715,282.77,440.92,10.13,0.17
19,1,box,VISIBLE,19,0,0.8588,660.57,351.95,-0.01,-0.0
19,2,ball,VISIBLE,19,0,0.8257,290.84,440.94,8.69,0.07
20,1,box,VISIBLE,20,0,0.8577,660.51,351.92,-0.04,-0.02
20,2,ball,VISIBLE,20,0,0.8231,297.22,440.89,7.07,-0.02
21,1,box,VISIBLE,21,0,0.8528,660.47,351.93,-0.04,-0.0
21,2,ball,VISIBLE,21,0,0.8512,302.62,440.88,5.91,-0.01
22,1,box,VISIBLE,22,0,0.8489,660.47,351.94,-0.01,0.01
22,2,ball,VISIBLE,22,0,0.8007,307.2,440.66,4.98,-0.16
23,1,box,VISIBLE,23,0,0.8418,660.56,351.94,0.05,-0.0
23,2,ball,VISIBLE,23,0,0.799,310.26,440.51,3.63,-0.15
24,1,box,VISIBLE,24,0,0.8202,660.88,351.97,0.24,0.02
24,2,ball,VISIBLE,24,0,0.7753,311.38,440.49,1.88,-0.06
25,1,box,VISIBLE,25,0,0.8371,661.06,351.92,0.2,-0.03
25,2,ball,VISIBLE,25,0,0.8061,311.62,440.49,0.72,-0.02
26,1,box,VISIBLE,26,0,0.8259,661.24,351.9,0.19,-0.02
26,2,ball,VISIBLE,26,0,0.7916,311.85,440.45,0.38,-0.03
27,1,box,VISIBLE,27,0,0.8293,661.4,351.94,0.17,0.02
27,2,ball,VISIBLE,27,0,0.766,311.9,440.34,0.16,-0.09
28,1,box,VISIBLE,28,0,0.8283,661.46,352.0,0.1,0.05
28,2,ball,VISIBLE,28,0,0.7708,311.69,440.37,-0.1,-0.01
29,1,box,VISIBLE,29,0,0.8283,661.47,352.09,0.04,0.07
