frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
1,1,box,0.8562,382.26,136.57,938.63,567.32,660.44,351.95,556.37,430.75,1,VISIBLE,0.0,0.0
1,2,ball,0.7564,22.44,343.07,218.64,534.78,120.54,438.93,196.2,191.7,2,VISIBLE,0.0,0.0
2,1,box,0.857,382.24,136.57,938.63,567.33,660.44,351.95,556.38,430.76,1,VISIBLE,-0.01,0.0
2,2,ball,0.7767,29.81,343.09,226.24,535.04,128.03,439.06,196.42,191.95,2,VISIBLE,7.49,0.14
3,1,box,0.8595,382.26,136.57,938.62,567.32,660.44,351.95,556.36,430.75,1,VISIBLE,0.0,-0.0
3,2,ball,0.7685,38.2,343.12,234.51,534.99,136.36,439.06,196.32,191.87,2,VISIBLE,8.08,0.04
4,1,box,0.8562,382.21,136.54,938.67,567.36,660.44,351.95,556.46,430.82,1,VISIBLE,0.0,0.0
4,2,ball,0.8094,47.32,343.15,243.79,535.25,145.55,439.2,196.47,192.1,2,VISIBLE,8.86,0.11
5,1,box,0.8542,382.24,136.54,938.62,567.3,660.43,351.92,556.38,430.76,1,VISIBLE,-0.01,-0.02
5,2,ball,0.8325,56.77,343.04,253.47,535.48,155.12,439.26,196.71,192.44,2,VISIBLE,9.35,0.08
6,1,box,0.8584,382.19,136.54,938.64,567.36,660.42,351.95,556.45,430.82,1,VISIBLE,-0.01,0.01
6,2,ball,0.7964,66.09,343.08,262.59,535.41,164.34,439.24,196.5,192.33,2,VISIBLE,9.26,0.01
7,1,box,0.8574,382.18,136.53,938.7,567.41,660.44,351.97,556.52,430.88,1,VISIBLE,0.01,0.02
7,2,ball,0.7415,75.45,343.1,271.91,535.51,173.68,439.3,196.46,192.4,2,VISIBLE,9.32,0.05
8,1,box,0.8587,382.24,136.53,938.7,567.37,660.47,351.95,556.46,430.84,1,VISIBLE,0.03,-0.01
8,2,ball,0.81,85.09,343.31,281.56,535.84,183.33,439.58,196.47,192.53,2,VISIBLE,9.55,0.2
9,1,box,0.8532,382.21,136.55,938.74,567.46,660.48,352.0,556.54,430.91,1,VISIBLE,0.01,0.04
9,2,ball,0.8092,94.76,343.22,291.36,536.08,193.06,439.65,196.6,192.87,2,VISIBLE,9.68,0.11
10,1,box,0.8607,382.23,136.54,938.74,567.43,660.48,351.98,556.51,430.89,1,VISIBLE,0.01,-0.0
10,2,ball,0.8227,104.61,343.2,301.04,536.09,202.82,439.64,196.44,192.89,2,VISIBLE,9.74,0.03
11,1,box,0.8607,382.19,136.53,938.7,567.42,660.45,351.98,556.51,430.89,1,VISIBLE,-0.02,-0.01
11,2,ball,0.8562,114.04,343.17,310.86,536.63,212.45,439.9,196.82,193.46,2,VISIBLE,9.66,0.19
12,1,box,0.8591,382.2,136.54,938.69,567.43,660.44,351.98,556.49,430.88,1,VISIBLE,-0.01,0.0
12,2,ball,0.8402,123.76,343.32,320.78,537.23,222.27,440.28,197.02,193.91,2,VISIBLE,9.77,0.32
13,1,box,0.8568,382.21,136.54,938.72,567.45,660.46,351.99,556.52,430.92,1,VISIBLE,0.01,0.01
13,2,ball,0.8714,133.82,343.19,330.78,537.24,232.3,440.21,196.96,194.05,2,VISIBLE,9.95,0.05
14,1,box,0.8621,382.24,136.55,938.75,567.48,660.49,352.01,556.52,430.93,1,VISIBLE,0.02,0.02
14,2,ball,0.8519,143.97,343.22,340.75,537.32,242.36,440.27,196.79,194.1,2,VISIBLE,10.03,0.05
15,1,box,0.8635,382.33,136.55,938.72,567.39,660.53,351.97,556.39,430.84,1,VISIBLE,0.03,-0.03
15,2,ball,0.8034,154.07,343.4,350.55,537.37,252.31,440.39,196.47,193.97,2,VISIBLE,9.97,0.1
16,1,box,0.8682,382.37,136.55,938.73,567.38,660.55,351.97,556.36,430.83,1,VISIBLE,0.03,-0.01
16,2,ball,0.7908,164.32,343.69,360.39,537.33,262.35,440.51,196.07,193.64,2,VISIBLE,10.02,0.12
17,1,box,0.8599,382.35,136.53,938.76,567.41,660.56,351.97,556.41,430.88,1,VISIBLE,0.01,0.0
17,2,ball,0.8151,174.56,343.78,370.81,537.77,272.68,440.78,196.25,193.99,2,VISIBLE,10.24,0.22
18,1,box,0.8584,382.42,136.51,938.77,567.36,660.59,351.94,556.36,430.85,1,VISIBLE,0.03,-0.02
18,2,ball,0.7715,184.56,343.72,380.98,538.12,282.77,440.92,196.41,194.4,2,VISIBLE,10.13,0.17
19,1,box,0.8588,382.39,136.52,938.74,567.37,660.57,351.94,556.35,430.85,1,VISIBLE,-0.01,-0.0
19,2,ball,0.8257,192.95,343.74,388.73,538.15,290.84,440.94,195.78,194.41,2,VISIBLE,8.69,0.07
20,1,box,0.8577,382.37,136.52,938.66,567.32,660.52,351.92,556.29,430.8,1,VISIBLE,-0.04,-0.02
20,2,ball,0.8231,200.02,343.65,394.41,538.13,297.22,440.89,194.39,194.48,2,VISIBLE,7.07,-0.02
21,1,box,0.8528,382.29,136.5,938.66,567.35,660.48,351.92,556.37,430.84,1,VISIBLE,-0.04,-0.0
21,2,ball,0.8512,206.42,343.56,398.83,538.2,302.62,440.88,192.41,194.65,2,VISIBLE,5.91,-0.01
22,1,box,0.8489,382.27,136.5,938.68,567.38,660.48,351.94,556.42,430.87,1,VISIBLE,-0.01,0.01
22,2,ball,0.8007,212.4,343.36,402.01,537.96,307.2,440.66,189.61,194.59,2,VISIBLE,4.98,-0.16
23,1,box,0.8418,382.34,136.51,938.77,567.36,660.55,351.93,556.43,430.85,1,VISIBLE,0.05,-0.0
23,2,ball,0.799,216.81,343.17,403.71,537.85,310.26,440.51,186.9,194.69,2,VISIBLE,3.63,-0.15
24,1,box,0.8202,382.64,136.54,939.11,567.39,660.88,351.96,556.47,430.85,1,VISIBLE,0.24,0.02
24,2,ball,0.7753,219.23,343.15,403.54,537.83,311.38,440.49,184.31,194.68,2,VISIBLE,1.88,-0.06
25,1,box,0.8371,382.84,136.54,939.28,567.3,661.06,351.92,556.44,430.76,1,VISIBLE,0.2,-0.03
25,2,ball,0.8061,220.67,343.16,402.56,537.81,311.61,440.49,181.89,194.65,2,VISIBLE,0.72,-0.02
26,1,box,0.8259,382.98,136.53,939.5,567.28,661.24,351.9,556.52,430.75,1,VISIBLE,0.19,-0.02
26,2,ball,0.7916,221.99,343.12,401.7,537.79,311.84,440.45,179.7,194.67,2,VISIBLE,0.38,-0.03
27,1,box,0.8293,383.09,136.55,939.71,567.32,661.4,351.93,556.62,430.77,1,VISIBLE,0.17,0.02
