frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
40,1,box,0.7905,398.85,133.88,917.41,551.72,658.13,342.8,518.56,417.84,1,VISIBLE,-3.35,0.08
40,2,ball,0.5795,286.16,216.94,496.25,520.07,391.21,368.51,210.1,303.13,2,VISIBLE,2.84,-1.26
41,1,box,0.7712,396.1,133.74,914.7,552.0,655.4,342.87,518.59,418.25,1,VISIBLE,-2.92,0.07
41,2,ball,0.585,283.66,216.11,500.05,517.57,391.85,366.84,216.38,301.45,2,VISIBLE,1.31,-1.54
42,1,box,0.7349,392.84,133.68,910.98,552.09,651.91,342.89,518.13,418.41,1,VISIBLE,-3.32,0.03
42,2,ball,0.6142,282.44,213.05,503.11,515.27,392.78,364.16,220.68,302.22,2,VISIBLE,1.04,-2.34
43,1,box,0.744,390.39,133.84,907.75,552.11,649.07,342.97,517.36,418.26,1,VISIBLE,-2.98,0.07
43,2,ball,0.6402,283.89,209.29,504.75,509.61,394.32,359.45,220.86,300.31,2,VISIBLE,1.39,-4.0
44,1,box,0.7736,387.45,133.48,905.22,552.56,646.34,343.02,517.77,419.08,1,VISIBLE,-2.81,0.05
44,2,ball,0.6472,286.98,206.66,505.94,504.7,396.46,355.68,218.96,298.04,2,VISIBLE,1.92,-3.84
45,1,box,0.8272,384.41,133.35,902.23,552.97,643.32,343.16,517.82,419.61,1,VISIBLE,-2.95,0.11
45,2,ball,0.6491,290.26,204.07,506.73,500.91,398.49,352.49,216.46,296.84,2,VISIBLE,2.0,-3.38
46,1,box,0.759,381.34,133.13,899.13,553.31,640.24,343.22,517.79,420.19,1,VISIBLE,-3.05,0.08
46,2,ball,0.6117,294.56,202.78,507.42,498.81,400.99,350.8,212.86,296.03,2,VISIBLE,2.35,-2.2
47,1,box,0.754,378.25,133.67,895.05,553.52,636.65,343.6,516.8,419.85,1,VISIBLE,-3.42,0.29
48,1,box,0.7923,374.11,133.29,891.18,553.74,632.64,343.51,517.06,420.45,1,VISIBLE,-3.83,0.03
49,1,box,0.83,370.31,133.12,887.39,553.87,628.85,343.49,517.08,420.75,1,VISIBLE,-3.81,-0.01
49,2,ball,0.451,310.96,205.72,509.94,494.42,410.45,350.07,198.98,288.71,2,VISIBLE,2.91,-0.83
50,1,box,0.8641,365.61,132.95,882.66,554.02,624.13,343.48,517.05,421.07,1,VISIBLE,-4.44,-0.01
50,2,ball,0.4967,321.45,211.5,506.08,491.58,413.76,351.54,184.63,280.08,2,VISIBLE,3.19,0.78
51,1,box,0.842,361.79,132.75,878.46,554.14,620.12,343.44,516.67,421.39,1,VISIBLE,-4.14,-0.03
52,1,box,0.7518,359.52,132.61,875.57,554.28,617.55,343.44,516.05,421.67,1,VISIBLE,-3.05,-0.01
53,1,box,0.8344,357.23,132.52,872.55,554.46,614.89,343.49,515.32,421.94,1,VISIBLE,-2.77,0.03
54,1,box,0.8504,354.43,132.32,869.0,554.64,611.71,343.48,514.58,422.32,1,VISIBLE,-3.05,0.0
55,1,box,0.8162,352.06,132.33,865.51,554.73,608.78,343.53,513.45,422.4,1,VISIBLE,-2.97,0.04
56,1,box,0.7892,349.81,132.33,861.86,554.86,605.83,343.59,512.05,422.53,1,VISIBLE,-2.96,0.06
57,1,box,0.8239,347.24,132.28,857.29,554.86,602.26,343.57,510.05,422.58,1,VISIBLE,-3.39,-0.0
58,1,box,0.845,344.99,132.21,852.61,554.9,598.8,343.55,507.62,422.69,1,VISIBLE,-3.44,-0.01
59,1,box,0.838,343.46,132.01,848.2,554.84,595.83,343.42,504.75,422.83,1,VISIBLE,-3.11,-0.09
60,1,box,0.814,341.85,131.94,842.99,554.79,592.42,343.36,501.14,422.85,1,VISIBLE,-3.32,-0.07
61,1,box,0.8031,340.89,132.66,836.76,554.76,588.82,343.71,495.86,422.1,1,VISIBLE,-3.51,0.22
62,1,box,0.7693,339.55,132.25,831.02,554.96,585.28,343.61,491.47,422.71,1,VISIBLE,-3.53,-0.01
63,1,box,0.5122,337.93,132.28,823.53,554.81,580.73,343.54,485.6,422.53,1,VISIBLE,-4.25,-0.04
64,1,box,0.5373,331.88,133.0,811.59,554.49,571.74,343.74,479.71,421.5,1,VISIBLE,-7.57,0.13
65,1,box,0.4998,325.32,133.34,800.79,553.67,563.06,343.5,475.47,420.33,1,VISIBLE,-8.35,-0.13
66,1,box,0.4561,313.69,133.38,785.04,553.1,549.37,343.24,471.35,419.72,1,VISIBLE,-12.09,-0.22
67,1,box,0.4701,300.97,133.39,768.61,552.62,534.79,343.0,467.64,419.24,1,VISIBLE,-13.83,-0.23
68,1,box,0.3731,288.31,132.5,754.33,552.83,521.32,342.67,466.01,420.33,1,VISIBLE,-13.58,-0.31
69,1,box,0.55,277.46,132.13,741.96,553.49,509.71,342.81,464.5,421.36,1,VISIBLE,-12.2,0.01
69,2,ball,0.6577,729.05,218.17,813.44,487.12,771.24,352.64,84.39,268.95,3,VISIBLE,14.13,0.27
70,1,box,0.6594,269.61,132.33,732.73,553.67,501.17,343.0,463.12,421.34,1,VISIBLE,-9.64,0.14
70,2,ball,0.6359,725.54,213.05,813.75,492.46,769.65,352.75,88.21,279.41,3,VISIBLE,3.12,0.16
71,1,box,0.4629,263.92,132.74,727.12,554.12,495.52,343.43,463.2,421.38,1,VISIBLE,-6.85,0.34
71,2,ball,0.644,720.7,205.63,813.32,495.21,767.01,350.42,92.62,289.58,3,VISIBLE,-0.91,-1.59
72,1,box,0.4515,259.34,132.44,724.48,554.6,491.91,343.52,465.15,422.16,1,VISIBLE,-4.58,0.17
72,2,ball,0.5504,716.01,204.57,812.62,499.84,764.32,352.21,96.61,295.27,3,VISIBLE,-2.16,0.77
73,1,box,0.6049,252.12,130.97,721.63,555.73,486.88,343.35,469.51,424.76,1,VISIBLE,-4.9,-0.07
73,2,ball,0.7217,712.02,204.99,811.98,500.41,762.0,352.7,99.97,295.42,3,VISIBLE,-2.27,0.58
74,1,box,0.5609,245.43,131.26,718.01,556.76,481.72,344.01,472.58,425.5,1,VISIBLE,-5.08,0.44
74,2,ball,0.7302,706.89,205.28,811.5,501.15,759.2,353.22,104.61,295.87,3,VISIBLE,-2.64,0.53
75,1,box,0.6917,239.23,130.49,715.35,556.71,477.29,343.6,476.12,426.23,1,VISIBLE,-4.62,-0.15
75,2,ball,0.7496,701.46,205.86,812.01,502.16,756.73,354.01,110.54,296.3,3,VISIBLE,-2.52,0.72
76,1,box,0.7,232.5,129.58,713.02,557.11,472.76,343.35,480.52,427.53,1,VISIBLE,-4.56,-0.22
76,2,ball,0.7483,694.91,206.65,812.65,503.37,753.78,355.01,117.74,296.72,3,VISIBLE,-2.82,0.92
77,1,box,0.7337,224.24,129.65,709.27,558.25,466.76,343.95,485.02,428.6,1,VISIBLE,-5.57,0.36
77,2,ball,0.7421,688.0,207.13,814.17,504.5,751.08,355.81,126.18,297.37,3,VISIBLE,-2.73,0.84
78,1,box,0.7995,216.12,128.4,706.93,559.47,461.52,343.94,490.81,431.06,1,VISIBLE,-5.33,0.1
78,2,ball,0.7919,680.59,207.86,816.3,506.03,748.45,356.94,135.71,298.17,3,VISIBLE,-2.67,1.04
79,1,box,0.8421,208.63,128.14,703.45,560.1,456.04,344.12,494.82,431.96,1,VISIBLE,-5.44,0.16
79,2,ball,0.4322,672.15,208.96,818.49,508.16,745.32,358.56,146.33,299.21,3,VISIBLE,-2.99,1.44
80,1,box,0.8237,200.59,127.45,699.56,560.52,450.08,343.98,498.97,433.07,1,VISIBLE,-5.81,-0.05
81,1,box,0.8385,192.87,126.6,696.64,561.13,444.76,343.87,503.77,434.53,1,VISIBLE,-5.47,-0.1
82,1,box,0.8532,185.86,125.62,694.73,561.93,440.29,343.77,508.87,436.31,1,VISIBLE,-4.76,-0.09
83,1,box,0.8212,179.15,124.9,692.52,562.44,435.84,343.67,513.37,437.53,1,VISIBLE,-4.55,-0.1
