frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
40,2,ball,OCCLUDED,39,1,0.989,404.02,484.15,3.62,-0.19
41,1,box,VISIBLE,41,0,0.8224,647.07,404.11,-0.02,0.14
41,2,ball,OCCLUDED,39,2,0.978,407.63,483.96,3.62,-0.19
42,1,box,VISIBLE,42,0,0.8929,646.8,404.13,-0.19,0.06
42,2,ball,OCCLUDED,39,3,0.967,411.25,483.77,3.62,-0.19
43,1,box,VISIBLE,43,0,0.9138,646.94,404.0,0.04,-0.08
43,2,ball,OCCLUDED,39,4,0.956,414.87,483.59,3.62,-0.19
44,1,box,VISIBLE,44,0,0.9139,648.0,403.88,0.75,-0.11
44,2,ball,OCCLUDED,39,5,0.944,418.49,483.4,3.62,-0.19
45,1,box,VISIBLE,45,0,0.906,648.68,403.81,0.7,-0.08
45,2,ball,OCCLUDED,39,6,0.933,422.1,483.21,3.62,-0.19
46,1,box,VISIBLE,46,0,0.9088,648.87,403.8,0.34,-0.03
46,2,ball,OCCLUDED,39,7,0.922,425.72,483.02,3.62,-0.19
47,1,box,VISIBLE,47,0,0.9109,648.83,403.78,0.07,-0.02
47,2,ball,OCCLUDED,39,8,0.911,429.34,482.83,3.62,-0.19
48,1,box,VISIBLE,48,0,0.9112,648.83,403.94,0.02,0.11
48,2,ball,OCCLUDED,39,9,0.9,432.96,482.64,3.62,-0.19
49,1,box,VISIBLE,49,0,0.9157,648.73,404.0,-0.06,0.07
49,2,ball,OCCLUDED,39,10,0.889,436.57,482.45,3.62,-0.19
50,1,box,VISIBLE,50,0,0.9183,648.68,404.0,-0.05,0.02
50,2,ball,OCCLUDED,39,11,0.878,440.19,482.26,3.62,-0.19
51,1,box,VISIBLE,51,0,0.9191,648.67,403.98,-0.03,-0.01
51,2,ball,OCCLUDED,39,12,0.867,443.81,482.08,3.62,-0.19
52,1,box,VISIBLE,52,0,0.9225,648.63,403.96,-0.03,-0.02
52,2,ball,OCCLUDED,39,13,0.856,447.43,481.89,3.62,-0.19
53,1,box,VISIBLE,53,0,0.9213,648.62,403.91,-0.02,-0.03
53,2,ball,OCCLUDED,39,14,0.844,451.04,481.7,3.62,-0.19
54,1,box,VISIBLE,54,0,0.9177,648.64,403.88,0.01,-0.04
54,2,ball,OCCLUDED,39,15,0.833,454.66,481.51,3.62,-0.19
55,1,box,VISIBLE,55,0,0.9169,648.67,403.83,0.02,-0.04
55,2,ball,OCCLUDED,39,16,0.822,458.28,481.32,3.62,-0.19
56,1,box,VISIBLE,56,0,0.9176,648.7,403.84,0.03,-0.01
56,2,ball,OCCLUDED,39,17,0.811,461.9,481.13,3.62,-0.19
57,1,box,VISIBLE,57,0,0.9176,648.71,403.87,0.01,0.02
57,2,ball,OCCLUDED,39,18,0.8,465.51,480.94,3.62,-0.19
58,1,box,VISIBLE,58,0,0.9201,648.7,403.88,0.0,0.02
58,2,ball,OCCLUDED,39,19,0.789,469.13,480.75,3.62,-0.19
59,1,box,VISIBLE,59,0,0.9227,648.72,403.89,0.01,0.01
59,2,ball,OCCLUDED,39,20,0.778,472.75,480.57,3.62,-0.19
60,1,box,VISIBLE,60,0,0.9232,648.71,403.89,-0.0,0.0
60,2,ball,OCCLUDED,39,21,0.767,476.37,480.38,3.62,-0.19
61,1,box,VISIBLE,61,0,0.9197,648.73,403.88,0.01,-0.0
61,2,ball,OCCLUDED,39,22,0.756,479.98,480.19,3.62,-0.19
62,1,box,VISIBLE,62,0,0.9151,648.73,403.87,0.01,-0.01
62,2,ball,OCCLUDED,39,23,0.744,483.6,480.0,3.62,-0.19
63,1,box,VISIBLE,63,0,0.9246,648.71,403.86,-0.01,-0.01
63,2,ball,OCCLUDED,39,24,0.733,487.22,479.81,3.62,-0.19
64,1,box,VISIBLE,64,0,0.9239,648.74,403.86,0.01,-0.0
64,2,ball,OCCLUDED,39,25,0.722,490.83,479.62,3.62,-0.19
