frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
26,2,ball,0.7224,273.63,439.65,364.83,530.56,319.23,485.1,91.2,90.91,2,VISIBLE,7.36,0.32
27,1,box,0.9122,424.67,269.73,869.48,538.39,647.07,404.06,444.81,268.66,1,VISIBLE,-0.01,-0.01
27,2,ball,0.7249,280.54,439.46,371.78,530.48,326.16,484.97,91.24,91.03,2,VISIBLE,7.06,0.0
28,1,box,0.9116,424.64,269.68,869.49,538.37,647.07,404.02,444.84,268.69,1,VISIBLE,-0.01,-0.03
28,2,ball,0.726,287.82,439.36,378.99,530.4,333.4,484.88,91.17,91.04,2,VISIBLE,7.19,-0.06
29,1,box,0.9133,424.65,269.62,869.51,538.32,647.08,403.97,444.86,268.71,1,VISIBLE,0.01,-0.05
29,2,ball,0.6962,295.07,439.16,386.05,530.11,340.56,484.63,90.99,90.95,2,VISIBLE,7.17,-0.19
30,1,box,0.9112,424.69,269.54,869.51,538.23,647.1,403.89,444.82,268.69,1,VISIBLE,0.02,-0.07
30,2,ball,0.6923,302.8,439.18,393.5,529.95,348.15,484.57,90.7,90.77,2,VISIBLE,7.46,-0.11
31,1,box,0.9067,424.69,269.39,869.53,538.1,647.11,403.75,444.84,268.71,1,VISIBLE,0.01,-0.12
31,2,ball,0.7003,309.91,438.91,400.42,529.6,355.16,484.25,90.51,90.69,2,VISIBLE,7.15,-0.25
32,1,box,0.9029,424.62,269.41,869.58,538.22,647.1,403.82,444.96,268.81,1,VISIBLE,-0.0,0.01
32,2,ball,0.7359,317.78,439.36,408.12,529.98,362.95,484.67,90.34,90.62,2,VISIBLE,7.59,0.22
33,1,box,0.9078,424.54,269.45,869.58,538.32,647.06,403.88,445.04,268.87,1,VISIBLE,-0.03,0.05
33,2,ball,0.807,325.13,439.71,415.63,530.69,370.38,485.2,90.5,90.98,2,VISIBLE,7.48,0.44
34,1,box,0.9126,424.54,269.5,869.54,538.37,647.04,403.93,445.0,268.87,1,VISIBLE,-0.02,0.05
34,2,ball,0.7864,332.57,439.87,423.12,530.98,377.85,485.42,90.55,91.11,2,VISIBLE,7.47,0.29
